//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;;;Канал для того, чтобы в мастере срабатывал IoDrvWriteOutputs, без этого не сработает опрос по команде \ восстановлению связи;%QX0.6;A4_1
;Исключить модуль из опроса;;FALSE - включен, TRUE - выключен;%QX4.0;A4_1
;Флаг ошибки;;Признак ошибки опроса модуля;%IX40.0;A4_1
;Записать настройки;;По переднему фронту;%QX4.1;A4_1
;Прочитать настройки;;По переднему фронту;%QX4.2;A4_1
;Вход 1 (чтение);;См. структуру ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID11;A4_1
;Тип датчика;;См. перечисление ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB44;A4_1
;Полоса фильтра;ед. изм.;Полоса пропускания для фильтра нижних частот;%IB45;A4_1
;Сдвиг характеристики;ед. изм.;Величина смещения измеренного значения;%ID12;A4_1
;Наклон характеристики;;Коэффициент масштабирования смещенного значения;%ID13;A4_1
;Верхняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID14;A4_1
;Нижняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID15;A4_1
;Вход 2 (чтение);;См. структуру ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID16;A4_1
;Тип датчика@1;;См. перечисление ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB64;A4_1
;Полоса фильтра@1;ед. изм.;Полоса пропускания для фильтра нижних частот;%IB65;A4_1
;Сдвиг характеристики@1;ед. изм.;Величина смещения измеренного значения;%ID17;A4_1
;Наклон характеристики@1;;Коэффициент масштабирования смещенного значения;%ID18;A4_1
;Верхняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID19;A4_1
;Нижняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID20;A4_1
;Вход 3 (чтение);;См. структуру ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID21;A4_1
;Тип датчика@2;;См. перечисление ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB84;A4_1
;Полоса фильтра@2;ед. изм.;Полоса пропускания для фильтра нижних частот;%IB85;A4_1
;Сдвиг характеристики@2;ед. изм.;Величина смещения измеренного значения;%ID22;A4_1
;Наклон характеристики@2;;Коэффициент масштабирования смещенного значения;%ID23;A4_1
;Верхняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID24;A4_1
;Нижняя граница@2;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID25;A4_1
;Вход 4 (чтение);;См. структуру ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID26;A4_1
;Тип датчика@3;;См. перечисление ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB104;A4_1
;Полоса фильтра@3;ед. изм.;Полоса пропускания для фильтра нижних частот;%IB105;A4_1
;Сдвиг характеристики@3;ед. изм.;Величина смещения измеренного значения;%ID27;A4_1
;Наклон характеристики@3;;Коэффициент масштабирования смещенного значения;%ID28;A4_1
;Верхняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID29;A4_1
;Нижняя граница@3;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID30;A4_1
;Вход 5 (чтение);;См. структуру ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID31;A4_1
