//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
Application.IO.A7_16DO_Out_2_Frequency_M5_Pump_Write_1;Параметр ШИМ (запись)@1;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW130;A7_1
;Параметр ШИМ (запись)@2;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW131;A7_1
;Параметр ШИМ (запись)@3;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW132;A7_1
;Параметр ШИМ (запись)@4;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW133;A7_1
;Параметр ШИМ (запись)@5;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW134;A7_1
;Параметр ШИМ (запись)@6;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW135;A7_1
;Параметр ШИМ (запись)@7;мс или Гц;В зависимости от режима работы выхода либо период, либо частота ШИМ;%QW136;A7_1
;Период ШИМ (запись);мс;;%QW137;A7_1
;Период ШИМ (запись)@1;мс;;%QW138;A7_1
;Период ШИМ (запись)@2;мс;;%QW139;A7_1
;Период ШИМ (запись)@3;мс;;%QW140;A7_1
;Период ШИМ (запись)@4;мс;;%QW141;A7_1
;Период ШИМ (запись)@5;мс;;%QW142;A7_1
;Период ШИМ (запись)@6;мс;;%QW143;A7_1
;Период ШИМ (запись)@7;мс;;%QW144;A7_1
Application.IO.A7_16DO_Out_1_FillFactor_M4_Bypass_Read_1;Коэффициент заполнения ШИМ (чтение);;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW197;A7_1
Application.IO.A7_16DO_Out_2_FillFactor_M5_Pump_Read_1;Коэффициент заполнения ШИМ (чтение)@1;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%IW198;A7_1
